,q2_cliff,q2_cohen,q2_ttest,q2_mannwhit,q2_ttest_stat,q2_ttest_pval,q2_mannwhit_stat,q2_mannwhit_pval
svr_linear_20,-0.7390414733530898,-0.04206272986560347,"Ttest_indResult(statistic=-1.106026426507864, pvalue=0.26879157844529605)","MannwhitneyuResult(statistic=1210075.5, pvalue=0.9674155959003092)",-1.106026426507864,0.26879157844529605,1210075.5,0.9674155959003092
svr_linear_7,-0.6081999368441507,-0.0681905489831744,"Ttest_indResult(statistic=-1.7952184322276112, pvalue=0.07270569206255144)","MannwhitneyuResult(statistic=1218783.5, pvalue=0.7732555419546101)",-1.7952184322276112,0.07270569206255144,1218783.5,0.7732555419546101
svr_rbf_20,-0.6612910816653712,-0.07329409170172485,"Ttest_indResult(statistic=-1.928815927605835, pvalue=0.0538349996789214)","MannwhitneyuResult(statistic=1213489.5, pvalue=0.929872998658617)",-1.928815927605835,0.0538349996789214,1213489.5,0.929872998658617
svr_rbf_9,-0.6654683249125535,-0.10711243434267469,"Ttest_indResult(statistic=-2.8161069905147125, pvalue=0.004888337188008161)","MannwhitneyuResult(statistic=1210919.5, pvalue=0.9928286954037101)",-2.8161069905147125,0.004888337188008161,1210919.5,0.9928286954037101
