,q1a_cliff,q1b_cliff,q1a_ttest,q1b_ttest,q1a_wilcoxon,q1b_wilcoxon,q1a_cohen,q1b_cohen,q1a_ttest_stat,q1a_ttest_pval,q1b_ttest_stat,q1b_ttest_pval,q1a_wilcoxon_stat,q1a_wilcoxon_pval,q1b_wilcoxon_stat,q1b_wilcoxon_pval
svr_linear_20,-0.866783054760666,-0.7358589100377413,"Ttest_relResult(statistic=-0.46703433381176346, pvalue=0.640581181681008)","Ttest_relResult(statistic=1.3221790532288, pvalue=0.18622867137250265)","WilcoxonResult(statistic=199103.0, pvalue=0.08156865874163495)","WilcoxonResult(statistic=1181961.0, pvalue=3.02695948026563e-07)",-0.005361594901608491,0.004622135614110005,-0.46703433381176346,0.640581181681008,1.3221790532288,0.18622867137250265,199103.0,0.08156865874163495,1181961.0,3.02695948026563e-07
svr_linear_7,-0.9959718067117586,-0.7657479031336188,"Ttest_relResult(statistic=-1.463114328747397, pvalue=0.14376307373280672)","Ttest_relResult(statistic=0.39412531575535614, pvalue=0.6935219088058453)","WilcoxonResult(statistic=171566.0, pvalue=0.05547526048338944)","WilcoxonResult(statistic=1120974.0, pvalue=6.438531757475828e-08)",-0.01246160434597143,0.0021151762044068403,-1.463114328747397,0.14376307373280672,0.39412531575535614,0.6935219088058453,171566.0,0.05547526048338944,1120974.0,6.438531757475828e-08
svr_rbf_20,-0.9799657339360042,-0.8140841320855712,"Ttest_relResult(statistic=-1.2726231821812122, pvalue=0.2034595972187872)","Ttest_relResult(statistic=1.078094048182558, pvalue=0.28109509556600043)","WilcoxonResult(statistic=195277.0, pvalue=0.026834621369226583)","WilcoxonResult(statistic=1167224.0, pvalue=2.4307356327258043e-08)",-0.013410181997629342,0.004546529229056863,-1.2726231821812122,0.2034595972187872,1.078094048182558,0.28109509556600043,195277.0,0.026834621369226583,1167224.0,2.4307356327258043e-08
svr_rbf_9,-0.9939536452913632,-0.7281796614167514,"Ttest_relResult(statistic=-1.72199837411833, pvalue=0.08539159025173702)","Ttest_relResult(statistic=1.7190883916449764, pvalue=0.08572123152494429)","WilcoxonResult(statistic=189938.0, pvalue=0.03323167851692118)","WilcoxonResult(statistic=1145668.0, pvalue=1.3188083252114791e-07)",-0.022644298316778177,0.00821579837903208,-1.72199837411833,0.08539159025173702,1.7190883916449764,0.08572123152494429,189938.0,0.03323167851692118,1145668.0,1.3188083252114791e-07
